"Date","Price","Open","High","Low","Vol.","Change %"
"26-10-2023","1,997.40","1,991.20","2,003.70","1,981.60","214.05K","0.13%"
"25-10-2023","1,994.90","1,982.70","1,998.60","1,973.60","240.66K","0.44%"
"24-10-2023","1,986.10","1,984.10","1,992.00","1,964.60","200.94K","-0.09%"
"23-10-2023","1,987.80","1,987.70","1,994.30","1,971.00","212.29K","-0.33%"
"20-10-2023","1,994.40","1,988.00","2,009.20","1,983.70","289.11K","0.70%"
"19-10-2023","1,980.50","1,960.10","1,990.20","1,957.00","264.82K","0.62%"
"18-10-2023","1,968.30","1,936.70","1,975.80","1,935.90","270.05K","1.68%"
"17-10-2023","1,935.70","1,933.30","1,944.50","1,924.60","165.06K","0.07%"
"16-10-2023","1,934.30","1,941.30","1,943.00","1,921.20","182.82K","-0.37%"
"13-10-2023","1,941.50","1,881.70","1,946.20","1,881.50","312.99K","3.11%"
"12-10-2023","1,883.00","1,888.10","1,898.30","1,880.60","163.48K","-0.23%"
"11-10-2023","1,887.30","1,873.70","1,890.90","1,871.70","169.96K","0.64%"
"10-10-2023","1,875.30","1,875.40","1,879.10","1,866.10","157.34K","0.59%"
"09-10-2023","1,864.30","1,861.00","1,877.30","1,857.50","187.80K","1.04%"
"06-10-2023","1,845.20","1,834.30","1,849.00","1,823.50","231.02K","0.73%"
"05-10-2023","1,831.80","1,837.60","1,843.50","1,826.20","172.46K","-0.16%"
"04-10-2023","1,834.80","1,838.70","1,846.80","1,831.60","195.05K","-0.36%"
"03-10-2023","1,841.50","1,844.90","1,849.30","1,830.90","216.78K","-0.31%"
"02-10-2023","1,847.20","1,864.40","1,864.70","1,842.70","202.15K","-1.01%"
"29-09-2023","1,866.10","1,882.30","1,896.70","1,862.30","245.13K","-0.67%"
"28-09-2023","1,878.60","1,893.30","1,896.80","1,874.50","231.42K","-0.16%"
"27-09-2023","1,881.70","1,910.70","1,912.20","1,881.70","0.41K","-1.52%"
"26-09-2023","1,910.70","1,925.80","1,925.80","1,908.50","0.36K","-0.87%"
"25-09-2023","1,927.40","1,936.10","1,937.10","1,925.50","0.26K","-0.46%"
"22-09-2023","1,936.30","1,933.40","1,939.00","1,933.40","0.14K","0.31%"
"21-09-2023","1,930.40","1,935.40","1,939.20","1,924.80","0.15K","-1.41%"
"20-09-2023","1,958.00","1,941.30","1,959.40","1,941.30","0.56K","0.69%"
"19-09-2023","1,944.50","1,944.70","1,948.40","1,942.70","0.11K","0.01%"
"18-09-2023","1,944.30","1,938.30","1,943.60","1,938.30","0.01K","0.38%"
"15-09-2023","1,937.00","1,928.60","1,940.90","1,928.60","0.09K","0.69%"
"14-09-2023","1,923.70","1,915.20","1,924.00","1,914.70","0.02K","0.01%"
"13-09-2023","1,923.50","1,923.00","1,925.40","1,921.80","0.00K","-0.13%"
"12-09-2023","1,926.10","1,938.20","1,938.20","1,924.00","0.02K","-0.62%"
"11-09-2023","1,938.20","1,937.20","1,938.50","1,937.20","0.01K","0.23%"
"08-09-2023","1,933.70","1,940.00","1,943.50","1,936.00","0.01K","0.02%"
"07-09-2023","1,933.30","1,933.60","1,938.00","1,932.90","0.01K","-0.09%"
"06-09-2023","1,935.00","1,932.10","1,932.80","1,931.50","0.01K","-0.44%"
"05-09-2023","1,943.50","1,961.80","1,961.80","1,943.40","0.01K","-0.47%"
"04-09-2023","1,952.60","1,966.70","1,972.60","1,950.60","192.79K","-0.27%"
"01-09-2023","1,957.80","1,966.40","1,980.20","1,960.70","160.73K","0.06%"
"31-08-2023","1,956.60","1,970.20","1,974.90","1,965.50","133.71K","-0.36%"
"30-08-2023","1,963.70","1,966.00","1,977.10","1,962.80","142.38K","0.90%"
"29-08-2023","1,946.10","1,929.70","1,947.20","1,923.10","7.52K","0.94%"
"28-08-2023","1,927.90","1,929.20","1,935.10","1,921.50","6.60K","0.34%"
"25-08-2023","1,921.30","1,926.20","1,931.70","1,912.70","7.61K","-0.37%"
"24-08-2023","1,928.50","1,927.50","1,932.90","1,920.90","6.64K","-0.07%"
"23-08-2023","1,929.90","1,909.10","1,931.30","1,909.10","9.51K","1.14%"
"22-08-2023","1,908.10","1,905.90","1,915.20","1,899.70","5.20K","0.16%"
"21-08-2023","1,905.10","1,900.10","1,909.50","1,895.30","6.05K","0.37%"
"18-08-2023","1,898.10","1,900.40","1,907.40","1,897.70","5.15K","0.07%"
"17-08-2023","1,896.70","1,904.50","1,914.90","1,895.90","6.12K","-0.69%"
"16-08-2023","1,909.80","1,914.50","1,919.30","1,903.70","4.90K","-0.35%"
"15-08-2023","1,916.50","1,920.00","1,925.20","1,909.00","4.16K","-0.45%"
"14-08-2023","1,925.20","1,926.80","1,929.20","1,915.80","5.67K","-0.13%"
"11-08-2023","1,927.70","1,925.90","1,934.40","1,924.00","4.67K","-0.12%"
"10-08-2023","1,930.00","1,930.20","1,944.40","1,925.80","6.73K","-0.08%"
"09-08-2023","1,931.50","1,939.70","1,946.70","1,928.40","5.19K","-0.46%"
"08-08-2023","1,940.50","1,951.70","1,953.10","1,937.30","6.30K","-0.51%"
"07-08-2023","1,950.50","1,958.60","1,962.00","1,946.90","3.17K","-0.31%"
"04-08-2023","1,956.60","1,950.20","1,964.60","1,936.00","5.38K","0.37%"
"03-08-2023","1,949.40","1,951.40","1,955.00","1,945.00","7.32K","-0.31%"
"02-08-2023","1,955.50","1,967.80","1,972.40","1,949.60","7.29K","-0.19%"
"01-08-2023","1,959.20","1,985.10","1,985.10","1,959.00","7.51K","-1.51%"
"31-07-2023","1,989.30","1,978.00","1,991.00","1,967.20","6.27K","0.47%"
"28-07-2023","1,980.00","1,965.90","1,982.00","1,964.50","12.41K","1.25%"
"27-07-2023","1,955.50","1,982.40","1,991.80","1,951.50","3.84K","-1.23%"
"26-07-2023","1,979.90","1,977.00","1,989.40","1,973.50","0.89K","0.33%"
"25-07-2023","1,973.40","1,966.70","1,976.60","1,962.00","0.38K","0.08%"
"24-07-2023","1,971.90","1,973.50","1,978.90","1,964.90","0.46K","-0.22%"
"21-07-2023","1,976.20","1,982.30","1,984.20","1,969.80","0.13K","-0.22%"
"20-07-2023","1,980.50","1,989.80","1,998.40","1,977.90","0.45K","-0.49%"
"19-07-2023","1,990.30","1,990.20","1,993.00","1,984.10","0.12K","0.00%"
"18-07-2023","1,990.30","1,967.90","1,997.20","1,967.90","0.50K","1.24%"
"17-07-2023","1,966.00","1,968.80","1,972.90","1,959.10","0.23K","-0.41%"
"14-07-2023","1,974.00","1,972.30","1,977.00","1,966.10","0.14K","0.03%"
"13-07-2023","1,973.40","1,972.10","1,976.40","1,967.30","0.18K","0.10%"
"12-07-2023","1,971.40","1,947.30","1,973.90","1,947.20","0.82K","1.27%"
"11-07-2023","1,946.70","1,942.00","1,953.10","1,941.30","0.15K","0.32%"
"10-07-2023","1,940.40","1,940.00","1,941.00","1,928.20","0.42K","-0.08%"
"07-07-2023","1,941.90","1,940.30","1,949.10","1,931.50","0.24K","0.89%"
"06-07-2023","1,924.80","1,932.80","1,941.50","1,918.40","1.41K","-0.60%"
